SKU;Product Name;link;link_round1;amazon_price;amazon_title;match_confidence;status;error_message;spec;condition
ip11128GBYellow-EXD-AU;Apple iPhone 11 (128GB, Yellow) - Excellent;https://reebelo.com.au/collections/apple-iphone-11?skuId=sku-mq8cid43k2s6vbEdlPrz9Nn;https://reebelo.com.au/collections/apple-iphone-11?skuId=sku-mq8cid43k2s6vbEdlPrz9Nn;;iPhone 11 - 128GB - Yellow;1;matched;;128GB, 128 GB | Yellow;Refurbished
ip11256GBBlack-EXD-AU;Apple iPhone 11 (256GB, Black) - Excellent;https://reebelo.com.au/collections/apple-iphone-11?skuId=sku-mnu28key7Z31qE3XoNvx1y6;https://reebelo.com.au/collections/apple-iphone-11?skuId=sku-mnu28key7Z31qE3XoNvx1y6;;iPhone 11 - 256GB - Black;1;matched;;256GB, 256 GB | Black;Refurbished
ip11256GBPurple-EXD-AU;Apple iPhone 11 (256GB, Purple) - Excellent;https://reebelo.com.au/collections/apple-iphone-11?skuId=sku-mom4ds2m1UlmXWikqpASsFj;https://reebelo.com.au/collections/apple-iphone-11?skuId=sku-mom4ds2m1UlmXWikqpASsFj;;iPhone 11 - 256GB - Purple;1;matched;;256GB, 256 GB | Purple;Refurbished
ip11256GBYellow-EXD-AU;Apple iPhone 11 (256GB, Yellow) - Excellent;https://reebelo.com.au/collections/apple-iphone-11?skuId=sku-mnowjdu7kWTcx0avG9jtxcH;https://reebelo.com.au/collections/apple-iphone-11?skuId=sku-mnowjdu7kWTcx0avG9jtxcH;;iPhone 11 - 256GB - Yellow;1;matched;;256GB, 256 GB | Yellow;Refurbished
ip1164GBGreen-EXD-AU;Apple iPhone 11 (64GB, Green) - Excellent;https://reebelo.com.au/collections/apple-iphone-11?skuId=sku-mq8bsn0ezPdPDTcFQ6r6aDE;https://reebelo.com.au/collections/apple-iphone-11?skuId=sku-mq8bsn0ezPdPDTcFQ6r6aDE;;iPhone 11 - 64GB - Green;1;matched;;64GB, 64 GB | Green;Refurbished
ip1164GBPurple-EXD-AU;Apple iPhone 11 (64GB, Purple) - Excellent;https://reebelo.com.au/collections/apple-iphone-11?skuId=sku-mq8bsanpVnMu8fG8Qz6bH93;https://reebelo.com.au/collections/apple-iphone-11?skuId=sku-mq8bsanpVnMu8fG8Qz6bH93;;iPhone 11 - 64GB - Purple;1;matched;;64GB, 64 GB | Purple;Refurbished
ip11ProGB256Gold-RD-VR-EXD-AU;Apple iPhone 11 PRO (256GB, Gold) - Excellent;https://reebelo.com.au/collections/apple-iphone-11-pro?skuId=sku-mnowenvfGBVvJliqnyew2Sc;https://reebelo.com.au/collections/apple-iphone-11-pro?skuId=sku-mnowenvfGBVvJliqnyew2Sc;;iPhone 11 Pro - 256GB - Gold;1;matched;;256GB, 256 GB | Gold;Refurbished
ip11ProGB256Slvr-RD-VR-EXD-AU;Apple iPhone 11 PRO (256GB, Silver) - Excellent;https://reebelo.com.au/collections/apple-iphone-11-pro?skuId=sku-mjwxu1ioeHslfRXDyMEWHyu;https://reebelo.com.au/collections/apple-iphone-11-pro?skuId=sku-mjwxu1ioeHslfRXDyMEWHyu;;iPhone 11 Pro - 256GB - Silver;1;matched;;256GB, 256 GB | Silver;Refurbished
ip11ProGB512Green-RD-VR-EXD-AU;Apple iPhone 11 PRO (512GB, Green) - Excellent;;;;;0;no_match;;;
ip11ProGB512SpG-RD-VR-EXD-AU;Apple iPhone 11 PRO (512GB, Grey) - Excellent;https://reebelo.com.au/collections/apple-iphone-11-pro?skuId=sku-mjwy0jtnSuzp2OGTBG44qho;https://reebelo.com.au/collections/apple-iphone-11-pro?skuId=sku-mjwy0jtnSuzp2OGTBG44qho;;iPhone 11 Pro - 512GB - Space Grey;1;matched;;512GB, 512 GB | Space Grey;Refurbished
